[2020-02-07 15:21:30,743][Thread-26:18916][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,749][Thread-3:18148][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468806258.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,756][Thread-4:2596][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468769567.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,761][Thread-27:17420][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,762][Thread-5:10356][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468665103.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,774][Thread-7:18900][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468479248.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,775][Thread-28:13752][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,779][Thread-6:13044][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468573380.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,780][Thread-29:17268][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,783][Thread-30:2876][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,793][Thread-31:17652][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,796][Thread-9:18668][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468358964.html HTTP/1.1" 200 None]
